model_id,feature_set_id,representation_type,columns_family,n_input_columns,bins_or_length,include_derivatives,pca_n_components,cluster_selection,n_clusters_requested,covariance_type,reg_covar,use_spatial_mrf,columns
bf_paa_raw3_b4_d0,bf_paa_raw3_b4_d0,paa,raw3,3,4,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_paa_raw3_b8_d0,bf_paa_raw3_b8_d0,paa,raw3,3,8,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_paa_raw3_b8_d1,bf_paa_raw3_b8_d1,paa,raw3,3,8,True,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_paa_raw3_b16_d0_pca20,bf_paa_raw3_b16_d0_pca20,paa,raw3,3,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_paa_raw_rf_b4_d0,bf_paa_raw_rf_b4_d0,paa,raw_rf,4,4,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_paa_raw_rf_b8_d0,bf_paa_raw_rf_b8_d0,paa,raw_rf,4,8,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_paa_raw_rf_b8_d1,bf_paa_raw_rf_b8_d1,paa,raw_rf,4,8,True,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_paa_raw_rf_b16_d0_pca20,bf_paa_raw_rf_b16_d0_pca20,paa,raw_rf,4,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_paa_raw_basic_derived_b4_d0,bf_paa_raw_basic_derived_b4_d0,paa,raw_basic_derived,7,4,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_paa_raw_basic_derived_b8_d0,bf_paa_raw_basic_derived_b8_d0,paa,raw_basic_derived,7,8,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_paa_raw_basic_derived_b8_d1,bf_paa_raw_basic_derived_b8_d1,paa,raw_basic_derived,7,8,True,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_paa_raw_basic_derived_b16_d0_pca20,bf_paa_raw_basic_derived_b16_d0_pca20,paa,raw_basic_derived,7,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_paa_robertson_core_b4_d0,bf_paa_robertson_core_b4_d0,paa,robertson_core,5,4,False,,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_paa_robertson_core_b8_d0,bf_paa_robertson_core_b8_d0,paa,robertson_core,5,8,False,,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_paa_robertson_core_b8_d1,bf_paa_robertson_core_b8_d1,paa,robertson_core,5,8,True,,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_paa_robertson_core_b16_d0_pca20,bf_paa_robertson_core_b16_d0_pca20,paa,robertson_core,5,16,False,20,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_paa_hybrid_core_b4_d0,bf_paa_hybrid_core_b4_d0,paa,hybrid_core,6,4,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
bf_paa_hybrid_core_b8_d0,bf_paa_hybrid_core_b8_d0,paa,hybrid_core,6,8,False,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
bf_paa_hybrid_core_b8_d1,bf_paa_hybrid_core_b8_d1,paa,hybrid_core,6,8,True,,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
bf_paa_hybrid_core_b16_d0_pca20,bf_paa_hybrid_core_b16_d0_pca20,paa,hybrid_core,6,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
