model_id,feature_set_id,representation_type,columns_family,n_input_columns,bins_or_length,include_derivatives,pca_n_components,cluster_selection,n_clusters_requested,covariance_type,reg_covar,use_spatial_mrf,columns
bf_sample_raw3_l16_d0_pca20,bf_sample_raw3_l16_d0_pca20,resample,raw3,3,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_sample_raw3_l32_d0_pca20,bf_sample_raw3_l32_d0_pca20,resample,raw3,3,32,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_sample_raw3_l16_d1_pca20,bf_sample_raw3_l16_d1_pca20,resample,raw3,3,16,True,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_sample_raw3_l32_d1_pca30,bf_sample_raw3_l32_d1_pca30,resample,raw3,3,32,True,30,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2"
bf_sample_raw_rf_l16_d0_pca20,bf_sample_raw_rf_l16_d0_pca20,resample,raw_rf,4,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_sample_raw_rf_l32_d0_pca20,bf_sample_raw_rf_l32_d0_pca20,resample,raw_rf,4,32,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_sample_raw_rf_l16_d1_pca20,bf_sample_raw_rf_l16_d1_pca20,resample,raw_rf,4,16,True,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_sample_raw_rf_l32_d1_pca30,bf_sample_raw_rf_l32_d1_pca30,resample,raw_rf,4,32,True,30,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_FRR"
bf_sample_raw_basic_derived_l16_d0_pca20,bf_sample_raw_basic_derived_l16_d0_pca20,resample,raw_basic_derived,7,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_sample_raw_basic_derived_l32_d0_pca20,bf_sample_raw_basic_derived_l32_d0_pca20,resample,raw_basic_derived,7,32,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_sample_raw_basic_derived_l16_d1_pca20,bf_sample_raw_basic_derived_l16_d1_pca20,resample,raw_basic_derived,7,16,True,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_sample_raw_basic_derived_l32_d1_pca30,bf_sample_raw_basic_derived_l32_d1_pca30,resample,raw_basic_derived,7,32,True,30,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_QT,SCPT_QNET,SCPT_FRR,delta_u2"
bf_sample_robertson_core_l16_d0_pca20,bf_sample_robertson_core_l16_d0_pca20,resample,robertson_core,5,16,False,20,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_sample_robertson_core_l32_d0_pca20,bf_sample_robertson_core_l32_d0_pca20,resample,robertson_core,5,32,False,20,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_sample_robertson_core_l16_d1_pca20,bf_sample_robertson_core_l16_d1_pca20,resample,robertson_core,5,16,True,20,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_sample_robertson_core_l32_d1_pca30,bf_sample_robertson_core_l32_d1_pca30,resample,robertson_core,5,32,True,30,fixed,20,diag,1e-06,False,"SCPT_NQT,SCPT_NFR,SCPT_BQ,SCPT_NU2,SCPT_ICBE"
bf_sample_hybrid_core_l16_d0_pca20,bf_sample_hybrid_core_l16_d0_pca20,resample,hybrid_core,6,16,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
bf_sample_hybrid_core_l32_d0_pca20,bf_sample_hybrid_core_l32_d0_pca20,resample,hybrid_core,6,32,False,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
bf_sample_hybrid_core_l16_d1_pca20,bf_sample_hybrid_core_l16_d1_pca20,resample,hybrid_core,6,16,True,20,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
bf_sample_hybrid_core_l32_d1_pca30,bf_sample_hybrid_core_l32_d1_pca30,resample,hybrid_core,6,32,True,30,fixed,20,diag,1e-06,False,"SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_NQT,SCPT_NFR,SCPT_ICBE"
